x,y,z
0.0,0.0,0.0
-0.02181529998779297,-0.05167722702026367,-0.07750093936920166
-0.034809112548828125,-0.07486343383789062,-0.12502074241638184
-0.0451207160949707,-0.0845193862915039,-0.16418099403381348
-0.05447864532470703,-0.10368227958679199,-0.21404027938842773
-0.06711483001708984,-0.11691451072692871,-0.26263296604156494
-0.07557868957519531,-0.12049078941345215,-0.30572712421417236
-0.09679794311523438,-0.13175606727600098,-0.3513842821121216
-0.12344121932983398,-0.1685619354248047,-0.44961273670196533
-0.13899803161621094,-0.19118189811706543,-0.5029886960983276
-0.15485286712646484,-0.2130270004272461,-0.5615353584289551
-0.18543004989624023,-0.23767352104187012,-0.6111413240432739
-0.21141767501831055,-0.2700686454772949,-0.6654411554336548
-0.2397298812866211,-0.30475854873657227,-0.7158219814300537
-0.2663731575012207,-0.333935022354126,-0.7684826850891113
-0.2982020378112793,-0.37288665771484375,-0.8169710636138916
-0.3616213798522949,-0.43442845344543457,-0.9018182754516602
-0.39893388748168945,-0.4717409610748291,-0.9360015392303467
-0.4323124885559082,-0.5016326904296875,-0.9697228670120239
-0.4673600196838379,-0.5360841751098633,-1.0116100311279297
-0.5504488945007324,-0.6032884120941162,-1.0961443185806274
-0.595390796661377,-0.6430149078369141,-1.1346042156219482
-0.6451010704040527,-0.6796419620513916,-1.184523105621338
-0.685572624206543,-0.7168054580688477,-1.2352615594863892
-0.7315278053283691,-0.7534921169281006,-1.2824684381484985
-0.7698535919189453,-0.7912218570709229,-1.325666904449463
-0.8094310760498047,-0.8270442485809326,-1.3763755559921265
-0.8417367935180664,-0.8527040481567383,-1.435309648513794
-0.8815526962280273,-0.8742809295654297,-1.4902353286743164
-0.9251832962036133,-0.8913874626159668,-1.5442371368408203
-1.0098814964294434,-0.9360611438751221,-1.6501247882843018
-1.055896282196045,-0.9441375732421875,-1.7068982124328613
-1.095116138458252,-0.9499490261077881,-1.7562955617904663
-1.1404156684875488,-0.9580552577972412,-1.8083453178405762
-1.1808276176452637,-0.9535849094390869,-1.8599778413772583
-1.2241601943969727,-0.9469091892242432,-1.9064396619796753
-1.2695789337158203,-0.9499490261077881,-1.965835690498352
-1.3230443000793457,-0.9484589099884033,-2.0248740911483765
-1.3790130615234375,-0.9545087814331055,-2.078220248222351
-1.4281272888183594,-0.9633898735046387,-2.1448135375976562
-1.5463829040527344,-0.9700655937194824,-2.270057797431946
-1.5463829040527344,-0.9700655937194824,-2.270057797431946
-1.6627311706542969,-0.9492635726928711,-2.3956298828125
-1.722276210784912,-0.9373724460601807,-2.461478114128113
-1.783907413482666,-0.914454460144043,-2.5221705436706543
-1.8432140350341797,-0.9028017520904541,-2.581164240837097
-1.9053220748901367,-0.8850693702697754,-2.643078565597534
-1.9731521606445312,-0.8721351623535156,-2.7025043964385986
-2.03859806060791,-0.8661150932312012,-2.7657896280288696
-2.1062493324279785,-0.8516013622283936,-2.826407551765442
-2.227485179901123,-0.8248388767242432,-2.950608730316162
-2.2919774055480957,-0.810772180557251,-3.013402223587036
-2.3661255836486816,-0.7948875427246094,-3.0757486820220947
-2.437770366668701,-0.7870793342590332,-3.1384527683258057
-2.511918544769287,-0.7887482643127441,-3.2016485929489136
-2.5884509086608887,-0.7927417755126953,-3.2639354467391968
-2.659320831298828,-0.7879137992858887,-3.317907452583313
-2.73287296295166,-0.7781386375427246,-3.374248743057251
-2.7981996536254883,-0.7659196853637695,-3.4255236387252808
-2.938210964202881,-0.7308423519134521,-3.535717725753784
-3.008723258972168,-0.7219314575195312,-3.5798102617263794
-3.0826330184936523,-0.7183849811553955,-3.63902747631073
-3.157377243041992,-0.7138252258300781,-3.695860505104065
-3.2333731651306152,-0.7129311561584473,-3.750056028366089
-3.30197811126709,-0.70953369140625,-3.805786371231079
-3.367483615875244,-0.6918907165527344,-3.8630813360214233
-3.4419894218444824,-0.6801187992095947,-3.9138048887252808
-3.512084484100342,-0.6694197654724121,-3.9748400449752808
-3.652811050415039,-0.6573498249053955,-4.09284234046936
-3.7238597869873047,-0.6590783596038818,-4.158586263656616
-3.803372383117676,-0.6608068943023682,-4.229143261909485
-3.8743019104003906,-0.6592273712158203,-4.295036196708679
-3.9457082748413086,-0.6492435932159424,-4.353567957878113
-4.015028476715088,-0.6378889083862305,-4.420369863510132
-4.081249237060547,-0.6195604801177979,-4.490271210670471
-4.147887229919434,-0.5993843078613281,-4.562392830848694
-4.224002361297607,-0.5735456943511963,-4.637598991394043
-4.291653633117676,-0.5660951137542725,-4.718706011772156
-4.368007183074951,-0.5509257316589355,-4.809185862541199
-4.443466663360596,-0.5377531051635742,-4.900738596916199
-4.583597183227539,-0.4914402961730957,-5.088597536087036
-4.660665988922119,-0.46202540397644043,-5.184546113014221
-4.726111888885498,-0.422745943069458,-5.284249782562256
-4.784345626831055,-0.37986040115356445,-5.385503172874451
-4.850924015045166,-0.34478306770324707,-5.479171872138977
-4.905462265014648,-0.32261013984680176,-5.57340681552887
-5.007266998291016,-0.23406744003295898,-5.754575133323669
-5.052804946899414,-0.19407272338867188,-5.834460258483887
-5.080878734588623,-0.13658404350280762,-5.918949842453003
-5.1059722900390625,-0.08100271224975586,-5.993291735649109
-5.129098892211914,-0.018984079360961914,-6.065398454666138
-5.143165588378906,0.05516409873962402,-6.133094429969788
-5.147457122802734,0.1348555088043213,-6.195351481437683
-5.140781402587891,0.21135807037353516,-6.253749132156372
-5.131900310516357,0.2899169921875,-6.312236189842224
-5.0969719886779785,0.46393275260925293,-6.412193179130554
-5.062699317932129,0.5532205104827881,-6.454095244407654
-5.034387111663818,0.6546676158905029,-6.489932537078857
-4.9918293952941895,0.753551721572876,-6.532728672027588
-4.946887493133545,0.8676350116729736,-6.575062870979309
-4.894256591796875,0.9861588478088379,-6.610557436943054
-4.777193069458008,1.2649297714233398,-6.686106324195862
-4.702389240264893,1.4115571975708008,-6.717666983604431
-4.6253204345703125,1.5801489353179932,-6.743386387825012
-4.54258918762207,1.7521977424621582,-6.772860884666443
-4.345715045928955,2.126365900039673,-6.833493709564209
-4.234015941619873,2.318471670150757,-6.855413317680359
-4.123866558074951,2.5234222412109375,-6.869614124298096
-3.9877891540527344,2.750486135482788,-6.890147924423218
-3.844320774078369,3.0059218406677246,-6.901204586029053
-3.6823153495788574,3.262847661972046,-6.903812289237976
-3.2869577407836914,3.808528184890747,-6.8690478801727295
-3.0636191368103027,4.089802503585815,-6.832733750343323
-2.8271079063415527,4.387587308883667,-6.794840097427368
-2.554953098297119,4.712015390396118,-6.748214364051819
-2.2574663162231445,5.0765275955200195,-6.692856550216675
-1.9541382789611816,5.459189414978027,-6.624698638916016
-1.305699348449707,6.259053945541382,-6.507590413093567
-0.9575486183166504,6.683260202407837,-6.437346339225769
-0.22429227828979492,7.570624351501465,-6.274104118347168
0.16421079635620117,8.031249046325684,-6.188243627548218
0.5826354026794434,8.502691984176636,-6.100282073020935
0.995337963104248,8.986681699752808,-6.0041844844818115
1.8336176872253418,10.022968053817749,-5.808338522911072
2.28041410446167,10.570704936981201,-5.688682198524475
2.7109384536743164,11.078953742980957,-5.570173263549805
3.158867359161377,11.60314679145813,-5.453810095787048
3.621518611907959,12.16435432434082,-5.330011248588562
4.103720188140869,12.738972902297974,-5.19813597202301
4.597842693328857,13.298273086547852,-5.078747868537903
5.132496356964111,13.920068740844727,-4.961475729942322
6.209194660186768,15.14965295791626,-4.714936017990112
6.80774450302124,15.823155641555786,-4.5968592166900635
7.386982440948486,16.468942165374756,-4.443034529685974
8.013367652893066,17.146974802017212,-4.285752773284912
8.667469024658203,17.853885889053345,-4.110068082809448
9.993970394134521,19.293248653411865,-3.800004720687866
10.676145553588867,20.029157400131226,-3.6330968141555786
11.426389217376709,20.778357982635498,-3.4529119729995728
12.153148651123047,21.53030037879944,-3.288969397544861
12.906849384307861,22.304296493530273,-3.1105726957321167
13.643324375152588,23.060262203216553,-2.9457062482833862
14.411985874176025,23.82272481918335,-2.758026123046875
15.205085277557373,24.646401405334473,-2.564862370491028
15.990376472473145,25.42489767074585,-2.375274896621704
16.808271408081055,26.266515254974365,-2.162933349609375
18.434882164001465,27.887552976608276,-1.7121881246566772
19.26553249359131,28.695404529571533,-1.4919042587280273
20.104527473449707,29.50933575630188,-1.2820810079574585
20.944833755493164,30.290037393569946,-1.0817945003509521
21.76356315612793,31.144261360168457,-0.8594095706939697
22.609293460845947,31.952708959579468,-0.6349682807922363
23.44149351119995,32.766371965408325,-0.40224194526672363
25.14714002609253,34.44403409957886,0.033020973205566406
26.026785373687744,35.301774740219116,0.26188790798187256
26.90333127975464,36.115437746047974,0.5508214235305786
27.76515483856201,36.9892418384552,0.761762261390686
28.61994504928589,37.82317042350769,1.0018497705459595
29.486358165740967,38.60020637512207,1.271262764930725
30.38334846496582,39.49669003486633,1.499474048614502
32.114505767822266,41.15906357765198,1.981109380722046
32.97889232635498,42.02577471733093,2.247050404548645
33.86479616165161,42.870908975601196,2.5023967027664185
34.707844257354736,43.706536293029785,2.7268826961517334
35.556793212890625,44.50663924217224,2.9665231704711914
36.38863563537598,45.29702663421631,3.1839609146118164
37.20808029174805,46.09692096710205,3.4288614988327026
38.76781463623047,47.624051570892334,3.909364342689514
39.52205181121826,48.3529269695282,4.1561126708984375
40.23551940917969,49.16563630104065,4.421800374984741
41.05865955352783,49.86730217933655,4.666268825531006
41.829824447631836,50.58616399765015,4.905536770820618
42.49405860900879,51.30079388618469,5.152016878128052
43.28888654708862,51.960885524749756,5.383342504501343
44.63088512420654,53.33468317985535,5.904480814933777
45.40586471557617,54.01891469955444,6.0806721448898315
46.031653881073,54.650843143463135,6.295427680015564
46.70369625091553,55.267930030822754,6.5032318234443665
47.444045543670654,55.90081214904785,6.710439920425415
48.03574085235596,56.44404888153076,6.9149211049079895
49.30359125137329,57.5583279132843,7.298730313777924
49.89880323410034,58.062732219696045,7.476635277271271
50.526320934295654,58.551520109176636,7.645398378372192
51.13857984542847,59.07487869262695,7.828772068023682
51.72604322433472,59.5812201499939,8.003629744052887
52.311599254608154,60.04580855369568,8.189283311367035
52.87015438079834,60.48089265823364,8.36307555437088
53.44521999359131,60.91868877410889,8.569255471229553
54.57568168640137,61.72266602516174,8.950069546699524
55.109262466430664,62.11882829666138,9.138889610767365
55.63920736312866,62.48316168785095,9.327240288257599
56.1676025390625,62.800705432891846,9.509295225143433
56.677818298339844,63.14575672149658,9.703084826469421
57.18487501144409,63.47408890724182,9.889878332614899
58.20274353027344,64.02567028999329,10.25119423866272
58.68202447891235,64.29627537727356,10.421834886074066
59.164226055145264,64.57599997520447,10.590031743049622
59.63623523712158,64.83608484268188,10.747268795967102
60.096144676208496,65.09140133857727,10.917186737060547
60.56171655654907,65.35598635673523,11.078305542469025
61.466097831726074,65.83678722381592,11.352412402629852
61.904311180114746,66.05738401412964,11.480510234832764
62.33900785446167,66.28930568695068,11.60469651222229
62.76887655258179,66.51288270950317,11.721476912498474
63.185274600982666,66.72996282577515,11.830978095531464
63.61651420593262,66.95258617401123,11.926896870136261
64.0363097190857,67.17464327812195,12.002505362033844
64.45002555847168,67.37607717514038,12.080073356628418
65.27489423751831,67.77873635292053,12.217417359352112
65.67221879959106,67.98562407493591,12.28053867816925
66.0712718963623,68.17781925201416,12.335002422332764
66.45816564559937,68.39865446090698,12.39040493965149
66.84595346450806,68.61910223960876,12.4121755361557
67.22891330718994,68.82631778717041,12.434139847755432
67.97701120376587,69.2453384399414,12.467853724956512
68.34524869918823,69.42036747932434,12.48273253440857
68.70478391647339,69.61193680763245,12.504823505878448
69.06956434249878,69.80115175247192,12.533247470855713
69.4534182548523,70.00157237052917,12.571968138217926
69.84782218933105,70.20816206932068,12.622646987438202
70.23316621780396,70.43111324310303,12.683242559432983
70.61129808425903,70.64634561538696,12.738227844238281
71.3990330696106,71.09197974205017,12.854069471359253
71.80160284042358,71.32437825202942,12.91465014219284
72.19141721725464,71.54017686843872,12.97333836555481
72.60006666183472,71.75058126449585,13.031736016273499
73.03595542907715,71.98908925056458,13.111896812915802
73.46105575561523,72.2436010837555,13.199441134929657
74.30553436279297,72.75974750518799,13.397224247455597
74.74082708358765,73.00055027008057,13.501152396202087
75.17224550247192,73.2431709766388,13.60158622264862
75.59370994567871,73.50751757621765,13.721846044063568
76.01076364517212,73.76384735107422,13.843603432178497
76.45535469055176,74.00587201118469,13.964444398880005
