x,y,z
0.0,0.0,0.0
-0.05435943603515625,-0.013917684555053711,-0.12133270502090454
-0.1150369644165039,-0.025987625122070312,-0.2249106764793396
-0.1672506332397461,-0.027447938919067383,-0.336281955242157
-0.2391338348388672,-0.023812055587768555,-0.44605880975723267
-0.3592967987060547,0.006854534149169922,-0.6694048643112183
-0.42629241943359375,0.01800060272216797,-0.7980987429618835
-0.4812479019165039,0.022351741790771484,-0.9224042296409607
-0.5369186401367188,0.01963973045349121,-1.0493099689483643
-0.5855560302734375,0.0260770320892334,-1.1747032403945923
-0.6456375122070312,0.011533498764038086,-1.3063102960586548
-0.7320642471313477,-0.04318356513977051,-1.4894157648086548
-0.7759332656860352,-0.0795125961303711,-1.6427263617515564
-0.8184909820556641,-0.10079145431518555,-1.7745047807693481
-0.8685588836669922,-0.13211369514465332,-1.9279494881629944
-0.8718967437744141,-0.20048022270202637,-2.095229923725128
-0.9056329727172852,-0.21710991859436035,-2.2574886679649353
-0.9458065032958984,-0.24321675300598145,-2.4095699191093445
-1.0204315185546875,-0.27573108673095703,-2.7203932404518127
-1.0172128677368164,-0.2167820930480957,-2.77874618768692
-1.0377168655395508,-0.22286176681518555,-2.933189272880554
-1.058340072631836,-0.23818016052246094,-3.0825361609458923
-1.0765790939331055,-0.25659799575805664,-3.231555223464966
-1.0985136032104492,-0.2817511558532715,-3.3959895372390747
-1.1265277862548828,-0.3153085708618164,-3.5586878657341003
-1.1513233184814453,-0.3529787063598633,-3.7361234426498413
-1.1817216873168945,-0.40975213050842285,-3.9142295718193054
-1.1919736862182617,-0.4558563232421875,-4.082038998603821
-1.2090206146240234,-0.515282154083252,-4.252403974533081
-1.2232065200805664,-0.5659759044647217,-4.428364336490631
-1.2583732604980469,-0.6663501262664795,-4.775874316692352
-1.2803077697753906,-0.707775354385376,-4.95176762342453
-1.2909173965454102,-0.7500946521759033,-5.129784345626831
-1.3033151626586914,-0.7805228233337402,-5.310624837875366
-1.3180971145629883,-0.827103853225708,-5.501687526702881
-1.3235807418823242,-0.8722543716430664,-5.680486559867859
-1.340031623840332,-0.9095370769500732,-5.864344537258148
-1.3530254364013672,-0.9558796882629395,-6.056442856788635
-1.3885498046875,-1.1484026908874512,-6.840765476226807
-1.398324966430664,-1.2074708938598633,-7.043562829494476
-1.4040470123291016,-1.2473762035369873,-7.2522759437561035
-1.3996362686157227,-1.2986958026885986,-7.452897727489471
-1.3943910598754883,-1.3289153575897217,-7.6737552881240845
-1.3763904571533203,-1.3682246208190918,-7.881388068199158
-1.3628005981445312,-1.4066100120544434,-8.089467883110046
-1.3343095779418945,-1.3701915740966797,-8.290372788906097
-1.3275146484375,-1.401960849761963,-8.488357067108154
-1.345992088317871,-1.5242993831634521,-8.874081075191498
-1.3452768325805664,-1.5418529510498047,-9.065784513950348
-1.3440847396850586,-1.5754997730255127,-9.267263114452362
-1.3359785079956055,-1.6022920608520508,-9.46664810180664
-1.3169050216674805,-1.6553401947021484,-9.686537086963654
-1.2546777725219727,-1.7382502555847168,-9.90401953458786
-1.1364221572875977,-1.795440912246704,-10.097630321979523
-1.0166168212890625,-1.7934143543243408,-10.232575237751007
-0.9152889251708984,-1.7943084239959717,-10.428741574287415
-0.8720159530639648,-1.8177926540374756,-10.632112622261047
-0.7499456405639648,-1.9190013408660889,-11.06630265712738
-0.6972551345825195,-1.948535442352295,-11.259235441684723
-0.6500482559204102,-1.9613802433013916,-11.4365816116333
-0.6060600280761719,-1.996755599975586,-11.626094579696655
-0.5681514739990234,-2.0278096199035645,-11.816807091236115
-0.5404949188232422,-2.048671245574951,-12.00336217880249
-0.49757957458496094,-2.1041929721832275,-12.226469814777374
-0.45371055603027344,-2.139568328857422,-12.425966560840607
-0.40209293365478516,-2.2179782390594482,-12.805260717868805
-0.4061460494995117,-2.1615326404571533,-12.985453009605408
-0.3465414047241211,-2.174079418182373,-13.188622891902924
-0.32722949981689453,-2.1898746490478516,-13.371191918849945
-0.3142356872558594,-2.2173523902893066,-13.555452227592468
-0.2818107604980469,-2.3248493671417236,-13.734564185142517
-0.26237964630126953,-2.3261606693267822,-13.911359012126923
-0.24139881134033203,-2.3120641708374023,-14.071345329284668
-0.24127960205078125,-2.2930800914764404,-14.241889119148254
-0.2574920654296875,-2.2555291652679443,-14.565348625183105
-0.2695322036743164,-2.252906560897827,-14.735527336597443
-0.3070831298828125,-2.2294223308563232,-14.893941581249237
-0.34248828887939453,-2.202540636062622,-15.048690140247345
-0.3813505172729492,-2.2024810314178467,-15.200398862361908
-0.42939186096191406,-2.20644474029541,-15.354514122009277
-0.47969818115234375,-2.205073833465576,-15.51441103219986
-0.5316734313964844,-2.203047275543213,-15.677124261856079
-0.5853176116943359,-2.1777749061584473,-15.823081135749817
-0.9655952453613281,-2.1875500679016113,-16.121193766593933
-1.0889768600463867,-2.1404922008514404,-16.277320683002472
-1.1668205261230469,-2.067655324935913,-16.412891447544098
-1.2053251266479492,-1.968294382095337,-16.51475578546524
-1.2333393096923828,-1.8520653247833252,-16.606658697128296
-1.2583732604980469,-1.7580986022949219,-16.690097749233246
-1.2890100479125977,-1.6600191593170166,-16.781829297542572
-1.5079975128173828,-1.5052258968353271,-17.043203115463257
-1.6033649444580078,-1.4271140098571777,-17.16027408838272
-1.6682147979736328,-1.3470649719238281,-17.245151102542877
-1.711726188659668,-1.2812316417694092,-17.324432730674744
-1.7535686492919922,-1.1987090110778809,-17.406128346920013
-1.7995834350585938,-1.1227130889892578,-17.4703449010849
-1.8471479415893555,-1.0507702827453613,-17.547212541103363
